fold,class,precision,recall,f1,support
1,SPHSUR,0.9540347293156282,0.9618949536560247,0.9579487179487179,971
1,BOABIS,0.9344262295081968,0.9332493702770781,0.9338374291115312,794
1,BOAFAB,0.9802631578947368,0.9696312364425163,0.9749182115594329,461
1,DENMIN,0.9629629629629629,0.8883826879271071,0.9241706161137441,439
1,LEPPOD,0.9537037037037037,0.9471264367816092,0.9504036908881199,435
2,SPHSUR,0.9601634320735445,0.9601634320735445,0.9601634320735445,979
2,BOABIS,0.9335038363171355,0.9323116219667944,0.9329073482428115,783
2,BOAFAB,0.9802197802197802,0.971677559912854,0.975929978118162,459
2,DENMIN,0.9739336492890995,0.899343544857768,0.9351535836177475,457
2,LEPPOD,0.9672131147540983,0.9672131147540983,0.9672131147540983,488
3,SPHSUR,0.9404878048780487,0.9877049180327869,0.9635182408795602,976
3,BOABIS,0.9178255372945638,0.928388746803069,0.9230769230769231,782
3,BOAFAB,0.9919191919191919,0.9646365422396856,0.9780876494023905,509
3,DENMIN,0.9651162790697675,0.8848614072494669,0.9232480533926585,469
3,LEPPOD,0.9346846846846847,0.9673659673659674,0.9507445589919816,429
4,SPHSUR,0.9444995044598612,0.9568273092369478,0.9506234413965087,996
4,BOABIS,0.9376558603491272,0.9272503082614056,0.9324240545567266,811
4,BOAFAB,0.9918200408997955,0.9661354581673307,0.9788092835519677,502
4,DENMIN,0.9695431472081218,0.9052132701421801,0.9362745098039216,422
4,LEPPOD,0.970074812967581,0.9396135265700483,0.9546012269938651,414
5,SPHSUR,0.9323809523809524,0.9898887765419616,0.9602746444335458,989
5,BOABIS,0.9265255292652553,0.9477707006369427,0.9370277078085643,785
5,BOAFAB,0.9732510288065843,0.9732510288065843,0.9732510288065843,486
5,DENMIN,0.9549763033175356,0.9179954441913439,0.9361207897793263,439
5,LEPPOD,0.9699074074074074,0.9373601789709173,0.9533560864618885,447
