fold,epoch,class,train_loss,val_loss,val_f1_macro,val_f1_micro,val_hamming_loss,lr,epoch_time_sec
3,13,,0.08215,0.106198,0.938394,0.939432,0.0384,0.001,62.61
3,14,,0.07838,0.099377,0.944912,0.943749,0.0355,0.001,62.61
3,15,,0.075757,0.100307,0.947331,0.945989,0.0342,0.001,62.58
3,16,,0.074716,0.107102,0.941891,0.940583,0.0377,0.001,62.57
3,17,,0.07355,0.123334,0.941302,0.939572,0.0381,0.001,62.58
3,18,,0.068985,0.110822,0.944497,0.942206,0.037,0.001,62.6
3,19,,0.068694,0.100793,0.941709,0.941398,0.0373,0.001,62.6
3,20,,0.067612,0.116905,0.937018,0.936604,0.0398,0.001,62.63
3,21,,0.068453,0.105849,0.940396,0.9406,0.0376,0.001,62.63
3,22,,0.06275,0.10548,0.945143,0.944956,0.0353,0.001,62.62
3,23,,0.064052,0.107795,0.939707,0.939797,0.038,0.001,62.63
3,24,,0.058546,0.122437,0.942341,0.940949,0.0367,0.001,62.6
3,25,,0.05873,0.100742,0.948295,0.947882,0.0331,0.001,62.62
3,26,,0.057852,0.116547,0.940296,0.941065,0.0372,0.001,62.61
3,27,,0.057757,0.097881,0.949189,0.9483,0.0327,0.00075,62.61
3,28,,0.047509,0.097743,0.94817,0.947887,0.0328,0.00075,62.62
3,29,,0.046356,0.094389,0.952225,0.951146,0.0309,0.00075,62.64
3,30,,0.042631,0.112604,0.947735,0.948346,0.0328,0.00075,62.63
4,1,,0.278765,0.215978,0.860763,0.866244,0.0886,0.001,62.58
4,2,,0.166822,0.166762,0.905408,0.910066,0.057,0.001,62.62
4,3,,0.140294,0.213203,0.879083,0.88261,0.0752,0.001,62.63
4,4,,0.126026,0.192992,0.892068,0.898838,0.0644,0.001,62.64
4,5,,0.116346,0.13913,0.917273,0.920513,0.0496,0.001,62.63
4,6,,0.110084,0.124942,0.93103,0.929816,0.0447,0.001,62.63
