fold,epoch,class,train_loss,val_loss,val_f1_macro,val_f1_micro,val_hamming_loss,lr,epoch_time_sec
1,5,BOAFAB,0.052067,0.068652,0.9692,0.9785,0.0215,0.001,29.66
1,6,BOAFAB,0.051515,0.184289,0.910905,0.9425,0.0575,0.001,29.63
1,7,BOAFAB,0.046064,0.07258,0.969719,0.9785,0.0215,0.001,29.65
1,8,BOAFAB,0.038839,0.05188,0.973581,0.9815,0.0185,0.001,29.62
1,9,BOAFAB,0.03295,0.056423,0.974895,0.982,0.018,0.001,29.63
1,10,BOAFAB,0.031883,0.071647,0.962758,0.9745,0.0255,0.001,29.63
1,11,BOAFAB,0.029615,0.047187,0.977097,0.984,0.016,0.001,29.62
1,12,BOAFAB,0.031741,0.089868,0.964219,0.9755,0.0245,0.001,29.61
1,13,BOAFAB,0.0254,0.033779,0.984401,0.989,0.011,0.001,29.64
1,14,BOAFAB,0.020958,0.044149,0.980928,0.9865,0.0135,0.001,29.64
1,15,BOAFAB,0.026292,0.043264,0.979162,0.9855,0.0145,0.001,29.65
1,16,BOAFAB,0.017933,0.031558,0.987217,0.991,0.009,0.001,29.61
1,17,BOAFAB,0.026223,0.039912,0.981704,0.987,0.013,0.001,29.62
1,18,BOAFAB,0.016665,0.039445,0.982287,0.9875,0.0125,0.001,29.67
1,19,BOAFAB,0.012946,0.037431,0.983754,0.9885,0.0115,0.001,29.6
1,20,BOAFAB,0.021161,0.061994,0.977025,0.984,0.016,0.001,29.61
1,21,BOAFAB,0.017992,0.052705,0.978562,0.985,0.015,0.001,29.62
1,22,BOAFAB,0.016545,0.040343,0.983112,0.988,0.012,0.001,29.65
1,23,BOAFAB,0.017568,0.049541,0.981814,0.987,0.013,0.001,29.6
1,24,BOAFAB,0.018223,0.03114,0.98584,0.99,0.01,0.001,29.67
1,25,BOAFAB,0.021343,0.046682,0.983628,0.9885,0.0115,0.001,29.62
1,26,BOAFAB,0.014967,0.040009,0.986496,0.9905,0.0095,0.001,29.61
1,27,BOAFAB,0.011515,0.06409,0.974811,0.9825,0.0175,0.00075,29.63
1,28,BOAFAB,0.012999,0.046195,0.98087,0.9865,0.0135,0.00075,29.64
1,29,BOAFAB,0.01449,0.03909,0.983603,0.9885,0.0115,0.00075,29.61
1,30,BOAFAB,0.009871,0.046553,0.985212,0.9895,0.0105,0.00075,29.63
1,1,DENMIN,0.244868,0.158036,0.922747,0.9465,0.0535,0.001,29.6
1,2,DENMIN,0.158347,0.13926,0.929564,0.954,0.046,0.001,29.6
1,3,DENMIN,0.137689,0.148813,0.92896,0.951,0.049,0.001,29.65
1,4,DENMIN,0.132901,0.126813,0.942535,0.962,0.038,0.001,29.66
1,5,DENMIN,0.118681,0.123754,0.948407,0.9645,0.0355,0.001,29.62
1,6,DENMIN,0.107637,0.114251,0.948239,0.9645,0.0355,0.001,29.61
1,7,DENMIN,0.10786,0.122517,0.938532,0.9575,0.0425,0.001,29.63
1,8,DENMIN,0.099494,0.117472,0.948494,0.966,0.034,0.001,29.63
1,9,DENMIN,0.095495,0.094049,0.957313,0.9715,0.0285,0.001,29.64
1,10,DENMIN,0.087394,0.104563,0.951549,0.9665,0.0335,0.001,29.64
1,11,DENMIN,0.086341,0.128825,0.949831,0.967,0.033,0.001,29.61
1,12,DENMIN,0.083353,0.093231,0.957532,0.9715,0.0285,0.001,29.63
1,13,DENMIN,0.074095,0.112789,0.951572,0.9675,0.0325,0.001,29.62
1,14,DENMIN,0.076964,0.176108,0.9169,0.9395,0.0605,0.001,29.63
1,15,DENMIN,0.068254,0.114495,0.951022,0.966,0.034,0.001,29.65
1,16,DENMIN,0.062022,0.14664,0.934862,0.958,0.042,0.001,29.66
1,17,DENMIN,0.064027,0.129497,0.942521,0.9595,0.0405,0.001,29.63
1,18,DENMIN,0.066487,0.106213,0.954983,0.969,0.031,0.001,29.6
1,19,DENMIN,0.055538,0.101957,0.953285,0.969,0.031,0.001,29.65
1,20,DENMIN,0.065248,0.101773,0.958377,0.9715,0.0285,0.001,29.65
1,21,DENMIN,0.053883,0.112387,0.955967,0.9705,0.0295,0.001,29.59
1,22,DENMIN,0.050818,0.102126,0.958952,0.9725,0.0275,0.001,29.75
1,23,DENMIN,0.049687,0.097131,0.955967,0.9705,0.0295,0.001,29.6
1,24,DENMIN,0.048505,0.102162,0.960846,0.9735,0.0265,0.001,29.65
1,25,DENMIN,0.045693,0.106807,0.957043,0.971,0.029,0.001,29.6
1,26,DENMIN,0.043072,0.119243,0.954871,0.97,0.03,0.001,29.63
1,27,DENMIN,0.044322,0.106305,0.953367,0.969,0.031,0.00075,29.62
1,28,DENMIN,0.039546,0.109436,0.961356,0.974,0.026,0.00075,29.61
1,29,DENMIN,0.031998,0.113909,0.954396,0.9695,0.0305,0.00075,29.67
1,30,DENMIN,0.029575,0.13469,0.953673,0.9695,0.0305,0.00075,29.64
1,1,LEPPOD,0.282892,0.298842,0.838769,0.9045,0.0955,0.001,29.71
1,2,LEPPOD,0.124855,0.227017,0.884915,0.913,0.087,0.001,29.66
1,3,LEPPOD,0.094313,0.16755,0.915814,0.9475,0.0525,0.001,29.68
1,4,LEPPOD,0.084212,0.098413,0.953755,0.9695,0.0305,0.001,29.62
1,5,LEPPOD,0.071166,0.320417,0.837547,0.8695,0.1305,0.001,29.63
1,6,LEPPOD,0.070334,0.172986,0.921133,0.9425,0.0575,0.001,29.62
1,7,LEPPOD,0.056565,0.115235,0.942785,0.9595,0.0405,0.001,29.63
1,8,LEPPOD,0.050272,0.109213,0.951001,0.968,0.032,0.001,29.66
1,9,LEPPOD,0.049976,0.057346,0.969557,0.9795,0.0205,0.001,29.61
1,10,LEPPOD,0.05065,0.072277,0.96714,0.9775,0.0225,0.001,29.65
1,11,LEPPOD,0.045524,0.064467,0.969295,0.9795,0.0205,0.001,29.64
1,12,LEPPOD,0.040525,0.154309,0.922833,0.9515,0.0485,0.001,29.65
1,13,LEPPOD,0.034584,0.103167,0.95359,0.9695,0.0305,0.001,29.63
1,14,LEPPOD,0.030292,0.148064,0.929606,0.9555,0.0445,0.001,29.68
1,15,LEPPOD,0.044062,0.090026,0.961044,0.973,0.027,0.001,29.67
1,16,LEPPOD,0.031709,0.098037,0.963093,0.975,0.025,0.001,29.65
1,17,LEPPOD,0.028481,0.065471,0.966587,0.9775,0.0225,0.001,29.63
1,18,LEPPOD,0.025297,0.085711,0.963338,0.975,0.025,0.001,29.62
1,19,LEPPOD,0.028998,0.066371,0.967791,0.978,0.022,0.001,29.65
1,20,LEPPOD,0.021829,0.086162,0.96324,0.9755,0.0245,0.001,29.63
1,21,LEPPOD,0.02037,0.068527,0.965757,0.977,0.023,0.001,29.61
1,22,LEPPOD,0.026248,0.077074,0.956299,0.971,0.029,0.001,29.62
1,23,LEPPOD,0.022486,0.074608,0.966492,0.977,0.023,0.001,29.63
1,24,LEPPOD,0.024475,0.078835,0.959961,0.9735,0.0265,0.001,29.61
1,25,LEPPOD,0.021002,0.073677,0.964983,0.9765,0.0235,0.001,29.63
1,26,LEPPOD,0.018325,0.071212,0.963304,0.9755,0.0245,0.001,29.63
1,27,LEPPOD,0.021695,0.164923,0.934832,0.953,0.047,0.00075,29.65
1,28,LEPPOD,0.017086,0.070898,0.968841,0.979,0.021,0.00075,29.63
1,29,LEPPOD,0.013119,0.083659,0.965521,0.977,0.023,0.00075,29.65
1,30,LEPPOD,0.009021,0.070287,0.969711,0.9795,0.0205,0.00075,29.65
2,1,SPHSUR,0.34945,0.184135,0.943999,0.944,0.056,0.001,29.65
2,2,SPHSUR,0.179563,0.137147,0.955,0.955,0.045,0.001,29.64
2,3,SPHSUR,0.149391,0.137036,0.949974,0.95,0.05,0.001,29.63
2,4,SPHSUR,0.141865,0.12063,0.9575,0.9575,0.0425,0.001,29.63
2,5,SPHSUR,0.132979,0.227121,0.92867,0.929,0.071,0.001,29.62
2,6,SPHSUR,0.135195,0.114011,0.958,0.958,0.042,0.001,29.64
2,7,SPHSUR,0.121041,0.110078,0.957494,0.9575,0.0425,0.001,29.63
2,8,SPHSUR,0.116785,0.183315,0.936289,0.9365,0.0635,0.001,29.64
2,9,SPHSUR,0.117766,0.195415,0.924834,0.925,0.075,0.001,29.62
2,10,SPHSUR,0.108124,0.101873,0.959499,0.9595,0.0405,0.001,29.63
2,11,SPHSUR,0.111177,0.264515,0.912584,0.913,0.087,0.001,29.64
2,12,SPHSUR,0.104368,0.109384,0.957499,0.9575,0.0425,0.001,29.65
2,13,SPHSUR,0.105075,0.102771,0.958479,0.9585,0.0415,0.001,29.63
2,14,SPHSUR,0.097121,0.156859,0.935728,0.936,0.064,0.001,29.62
2,15,SPHSUR,0.093621,0.115335,0.956499,0.9565,0.0435,0.001,29.62
2,16,SPHSUR,0.09051,0.097271,0.960458,0.9605,0.0395,0.001,29.61
2,17,SPHSUR,0.084918,0.106714,0.955996,0.956,0.044,0.001,29.64
2,18,SPHSUR,0.088371,0.119069,0.954486,0.9545,0.0455,0.001,29.66
2,19,SPHSUR,0.082393,0.101078,0.9605,0.9605,0.0395,0.001,29.66
2,20,SPHSUR,0.076207,0.120457,0.957458,0.9575,0.0425,0.001,29.62
2,21,SPHSUR,0.074807,0.120042,0.955496,0.9555,0.0445,0.001,29.64
2,22,SPHSUR,0.070992,0.122222,0.945338,0.9455,0.0545,0.001,29.66
2,23,SPHSUR,0.06372,0.106008,0.96047,0.9605,0.0395,0.001,29.65
2,24,SPHSUR,0.067116,0.137883,0.952993,0.953,0.047,0.001,29.64
2,25,SPHSUR,0.053997,0.11426,0.95744,0.9575,0.0425,0.001,29.65
2,26,SPHSUR,0.051564,0.095518,0.96399,0.964,0.036,0.001,29.65
2,27,SPHSUR,0.055062,0.14072,0.952493,0.9525,0.0475,0.00075,29.63
2,28,SPHSUR,0.042997,0.12916,0.962497,0.9625,0.0375,0.00075,29.69
2,29,SPHSUR,0.034683,0.153523,0.953499,0.9535,0.0465,0.00075,29.64
2,30,SPHSUR,0.045979,0.105648,0.964989,0.965,0.035,0.00075,29.62
2,1,BOABIS,0.440583,0.255266,0.899207,0.903,0.097,0.001,29.63
2,2,BOABIS,0.254323,0.247951,0.90151,0.904,0.096,0.001,29.64
