fold,epoch,class,train_loss,val_loss,val_f1_macro,val_f1_micro,val_hamming_loss,lr,epoch_time_sec
3,13,,0.114234,0.133353,0.919997,0.924103,0.0478,0.001,29.65
3,14,,0.105118,0.141494,0.91292,0.916667,0.0522,0.001,29.67
3,15,,0.105788,0.131397,0.915723,0.92064,0.0491,0.001,29.66
3,16,,0.101612,0.12269,0.918892,0.924118,0.0471,0.001,29.65
3,17,,0.101112,0.135924,0.915493,0.918595,0.0503,0.001,29.69
3,18,,0.101008,0.118467,0.924949,0.929159,0.0448,0.001,29.69
3,19,,0.096761,0.119837,0.926544,0.931594,0.043,0.001,29.64
3,20,,0.091567,0.12118,0.927713,0.930173,0.0439,0.001,29.67
3,21,,0.086621,0.1222,0.924508,0.928831,0.0451,0.001,29.64
3,22,,0.08534,0.122406,0.928935,0.930115,0.0443,0.001,29.68
3,23,,0.081464,0.116183,0.934021,0.935617,0.0406,0.001,29.65
3,24,,0.081292,0.116078,0.930417,0.932253,0.0418,0.001,29.65
3,25,,0.077606,0.119336,0.932811,0.934286,0.0414,0.001,29.65
3,26,,0.080445,0.107717,0.937339,0.938795,0.0387,0.001,29.66
3,27,,0.073876,0.125475,0.923702,0.928686,0.0446,0.00075,29.67
3,28,,0.070393,0.11212,0.934797,0.937451,0.0399,0.00075,29.64
3,29,,0.065069,0.108788,0.938869,0.940123,0.0381,0.00075,29.66
3,30,,0.063489,0.105068,0.939896,0.940951,0.037,0.00075,29.67
4,1,,0.396544,0.296868,0.814126,0.821334,0.1149,0.001,29.67
4,2,,0.22578,0.194667,0.874322,0.883178,0.0741,0.001,29.67
4,3,,0.180983,0.169029,0.887437,0.896355,0.0654,0.001,29.64
4,4,,0.161772,0.16263,0.89228,0.901867,0.0615,0.001,29.66
4,5,,0.152852,0.164087,0.890697,0.901979,0.0619,0.001,29.69
4,6,,0.144507,0.150859,0.90221,0.912121,0.0559,0.001,29.72
4,7,,0.148681,0.153157,0.900063,0.909206,0.0572,0.001,29.66
4,8,,0.134564,0.150989,0.904166,0.911932,0.0558,0.001,29.65
4,9,,0.131723,0.141061,0.914141,0.919023,0.0507,0.001,29.66
4,10,,0.122713,0.161429,0.894431,0.904754,0.0595,0.001,29.66
4,11,,0.128725,0.130425,0.920632,0.925696,0.0467,0.001,29.66
4,12,,0.119692,0.130396,0.91841,0.922484,0.0483,0.001,29.64
4,13,,0.115437,0.12025,0.926952,0.930351,0.0436,0.001,29.67
4,14,,0.111385,0.147373,0.9106,0.91693,0.0526,0.001,29.67
4,15,,0.114281,0.12015,0.923234,0.927559,0.0455,0.001,29.64
4,16,,0.106883,0.12475,0.917952,0.922037,0.0496,0.001,29.62
4,17,,0.104318,0.121081,0.924854,0.92748,0.0451,0.001,29.62
4,18,,0.100367,0.136579,0.915617,0.920757,0.0494,0.001,29.62
4,19,,0.095061,0.120265,0.929732,0.930735,0.043,0.001,29.64
4,20,,0.097216,0.118306,0.928285,0.931555,0.0431,0.001,29.65
4,21,,0.089827,0.129204,0.926097,0.92702,0.0447,0.001,29.63
4,22,,0.105092,0.155822,0.903827,0.912003,0.0533,0.001,29.66
4,23,,0.088842,0.107237,0.937291,0.93736,0.0392,0.001,29.65
4,24,,0.085836,0.107961,0.935772,0.937114,0.0397,0.001,29.69
4,25,,0.081632,0.106918,0.936779,0.937169,0.0391,0.001,29.66
4,26,,0.080639,0.105091,0.937894,0.937907,0.0391,0.001,29.68
4,27,,0.077629,0.12869,0.925026,0.927465,0.0445,0.00075,29.66
4,28,,0.072699,0.099563,0.942939,0.941572,0.0365,0.00075,29.68
4,29,,0.069452,0.116124,0.934563,0.935929,0.0395,0.00075,29.64
4,30,,0.066794,0.114759,0.934098,0.935806,0.0398,0.00075,29.65
5,1,,0.401495,0.298503,0.803227,0.808297,0.122,0.001,29.66
5,2,,0.245716,0.208019,0.858508,0.864848,0.0877,0.001,29.62
