fold,epoch,class,train_loss,val_loss,val_f1_macro,val_f1_micro,val_hamming_loss,lr,epoch_time_sec
3,13,,0.082434,0.154269,0.905138,0.908777,0.0582,0.001,29.19
3,14,,0.077382,0.104894,0.943897,0.941268,0.0378,0.001,29.16
3,15,,0.070945,0.103723,0.941199,0.938788,0.0386,0.001,29.2
3,16,,0.067457,0.103697,0.946461,0.945345,0.0344,0.001,29.18
3,17,,0.06884,0.110758,0.941481,0.93935,0.0379,0.001,29.2
3,18,,0.060547,0.09869,0.948662,0.9468,0.0335,0.001,29.27
3,19,,0.061048,0.1114,0.940765,0.938128,0.0382,0.001,29.22
3,20,,0.059047,0.11192,0.940385,0.938802,0.0382,0.001,29.19
3,21,,0.055967,0.101757,0.948673,0.946471,0.0339,0.001,29.22
3,22,,0.052749,0.102513,0.945963,0.944462,0.0348,0.001,29.24
3,23,,0.050415,0.102955,0.949855,0.947907,0.0326,0.001,29.24
3,24,,0.050424,0.113569,0.946134,0.943233,0.0354,0.001,29.2
3,25,,0.046892,0.112465,0.942028,0.9401,0.0373,0.001,29.24
3,26,,0.043762,0.107269,0.949219,0.94705,0.0333,0.001,29.23
3,27,,0.042477,0.123003,0.941437,0.938905,0.0386,0.00075,29.21
3,28,,0.038428,0.109912,0.949569,0.947269,0.0334,0.00075,29.2
3,29,,0.031417,0.114659,0.950449,0.949401,0.0317,0.00075,29.23
3,30,,0.030023,0.112741,0.950876,0.948513,0.0322,0.00075,29.23
4,1,,0.355886,0.399061,0.717846,0.697884,0.2013,0.001,29.16
4,2,,0.212623,0.388729,0.748377,0.727958,0.166,0.001,29.19
4,3,,0.163899,0.148443,0.911841,0.915442,0.0535,0.001,29.22
4,4,,0.132272,0.163388,0.905206,0.899235,0.0632,0.001,29.21
4,5,,0.118245,0.125609,0.931745,0.931207,0.044,0.001,29.2
4,6,,0.108488,0.161333,0.911028,0.905832,0.0599,0.001,29.22
4,7,,0.103315,0.132183,0.923905,0.922429,0.0479,0.001,29.22
4,8,,0.094321,0.180072,0.912533,0.902911,0.0637,0.001,29.18
4,9,,0.092068,0.109605,0.933136,0.931695,0.0428,0.001,29.19
4,10,,0.086535,0.126646,0.924402,0.924564,0.0476,0.001,29.18
4,11,,0.087827,0.250584,0.860403,0.858376,0.0886,0.001,29.18
4,12,,0.079624,0.10171,0.941501,0.938976,0.0385,0.001,29.19
4,13,,0.076929,0.109965,0.940087,0.937237,0.0388,0.001,29.22
4,14,,0.072839,0.157512,0.920054,0.915667,0.0513,0.001,29.19
4,15,,0.069784,0.114882,0.941528,0.938073,0.0385,0.001,29.2
4,16,,0.067284,0.102364,0.942909,0.939144,0.0391,0.001,29.19
4,17,,0.064937,0.111536,0.93357,0.933019,0.0426,0.001,29.18
4,18,,0.061137,0.103756,0.94308,0.941233,0.0366,0.001,29.16
4,19,,0.058029,0.098335,0.947095,0.94414,0.0357,0.001,29.19
4,20,,0.058167,0.122636,0.930246,0.933138,0.0411,0.001,29.19
4,21,,0.056971,0.103246,0.944927,0.944835,0.0353,0.001,29.17
4,22,,0.051459,0.098645,0.949337,0.947183,0.033,0.001,29.18
4,23,,0.051411,0.110866,0.943702,0.94021,0.0371,0.001,29.2
4,24,,0.050504,0.104914,0.946114,0.941804,0.036,0.001,29.19
4,25,,0.045092,0.106282,0.949165,0.946914,0.0332,0.001,29.24
4,26,,0.044395,0.106597,0.943986,0.94091,0.0365,0.001,29.19
4,27,,0.042039,0.104217,0.947506,0.943511,0.0353,0.00075,29.23
4,28,,0.035805,0.118741,0.943556,0.942871,0.0353,0.00075,29.21
